budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Jonah Hex,47000000.0,[u'Jimmy Hayward'],Warner Bros.,10547117.0,356195.0,Western,PG-13,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2670.0,7543641.0,8,4204.0,-0.6990000000000001,12,654.0,-0.899,31,864.0,-0.755,51,3027.0,1.48,36,1233.0,0.559,28,820.0,-0.687,44,951.0,-0.65,62,NA,NA,NA,"[u'Mark Neveldine', u'Brian Taylor']",Jonah Hex
Man of Steel,225000000.0,[u'Zack Snyder'],Warner Bros.,291045518.0,377000000.0,Action / Adventure,PG-13,143,2067.0,-0.36600000000000005,24,1598.0,-0.358,29,1565.0,-0.08199999999999999,36,776.0,-0.649,40,934.0,-0.455,48,NA,NA,NA,37254.0,156728823.0,1,14036.0,-0.623,3,10770.0,-0.459,6,5644.0,-0.48700000000000004,7,3261.0,-0.5720000000000001,10,2740.0,-0.59,14,2308.0,-0.598,18,2358.0,-0.38,22,2793.0,0.66,19,"[u'David S. Goyer', u'Christopher Nolan']",Man of Steel
Red,58000000.0,[u'Robert Schwentke'],Summit Entertainment,90380162.0,108626225.0,Action Comedy,PG-13,111,1367.0,-0.044000000000000004,19,1581.0,-0.131,20,1411.0,-0.18100000000000002,20,1082.0,-0.33899999999999997,24,1017.0,-0.258,30,937.0,-0.316,37,8751.0,28483269.0,2,5992.0,-0.312,3,4455.0,-0.239,3,3621.0,-0.21600000000000003,4,2225.0,-0.452,7,3977.0,-0.43200000000000005,11,1836.0,-0.538,13,1342.0,-0.37700000000000006,15,1113.0,-0.4,18,"[u'Erich Hoeber', u'Jon Hoeber']",Red
Red 2,84000000.0,[u'Dean Parisot'],Lionsgate/Summit,53262560.0,94813005.0,Action Comedy,PG-13,116,741.0,-0.24600000000000002,44,815.0,-0.32,48,1063.0,1.41,32,906.0,-0.295,36,NA,NA,NA,NA,NA,NA,8513.0,25674356.0,5,4585.0,-0.461,6,2870.0,-0.428,10,1819.0,-0.638,15,1376.0,-0.6559999999999999,22,1252.0,-0.505,28,2045.0,0.095,34,874.0,-0.5910000000000001,37,837.0,-0.19899999999999998,39,"[u'Erich Hoeber', u'Jon Hoeber']",Red 2
Steel,16000000.0,NA,Warner Bros.,1710972.0,NA,Action / Adventure,PG-13,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054.0,1328601.0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steel
Supergirl,NA,NA,TriStar,14296438.0,NA,Action / Adventure,PG,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000.0,6431731.0,1,1701.0,-0.5710000000000001,4,928.0,-0.662,7,645.0,-0.584,12,1664.0,0.743,16,877.0,-0.48,17,1413.0,0.11,17,915.0,-0.543,23,825.0,-0.36100000000000004,24,NA,Supergirl
Superman,55000000.0,[u'Richard Donner'],Warner Bros.,134218018.0,166000000.0,Action / Adventure,PG,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23709.0,12044352.0,1,22975.0,0.537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Robert Benton'],Superman
Superman II,54000000.0,NA,Warner Bros.,108185706.0,NA,Action / Adventure,PG,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17186.0,24009272.0,1,13180.0,-0.227,1,8867.0,-0.10300000000000001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Superman II
Superman III,NA,NA,Warner Bros.,59950623.0,NA,Action / Adventure,PG,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11668.0,20524333.0,1,7784.0,-0.336,2,5412.0,-0.3,2,3710.0,-0.373,3,3777.0,-0.259,7,2610.0,-0.309,10,2467.0,-0.353,14,NA,NA,NA,NA,NA,NA,NA,Superman III
Superman IV: The Quest for Peace,17000000.0,NA,Warner Bros.,15681020.0,NA,Action / Adventure,PG,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5517.0,8335988.0,5,3029.0,-0.451,7,1813.0,-0.648,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Superman IV: The Quest for Peace
Superman Returns,270000000.0,[u'Bryan Singer'],Warner Bros.,200081192.0,191000000.0,Action / Adventure,PG-13,154,4539.0,0.166,18,2674.0,-0.495,21,3639.0,-0.187,23,3120.0,-0.262,28,1379.0,0.462,21,1078.0,-0.26,25,21591.0,87768980.0,1,7921.0,-0.633,2,5030.0,-0.41200000000000003,4,3906.0,-0.41700000000000004,9,2998.0,-0.455,12,2261.0,-0.446,15,2621.0,-0.41000000000000003,17,3369.0,-0.344,21,3518.0,-0.152,20,"[u'Michael Dougherty', u'Dan Harris']",Superman Returns
The Dark Knight,185000000.0,[u'Christopher Nolan'],Warner Bros.,534858444.0,469700000.0,Action / Adventure,PG-13,150,2013.0,-0.278,9,1560.0,-0.428,13,1749.0,-0.47100000000000003,21,2084.0,-0.326,19,2007.0,-0.255,20,2509.0,-0.284,26,54653.0,238615211.0,1,26120.0,-0.529,1,15607.0,-0.42700000000000005,1,10148.0,-0.392,1,6890.0,-0.383,2,4831.0,-0.38799999999999996,4,4659.0,-0.134,3,2789.0,-0.439,3,2424.0,-0.261,6,"[u'David S. Goyer', u'Christopher Nolan', u'Jonathan Nolan']",The Dark Knight
The Dark Knight Rises,250000000.0,[u'Christopher Nolan'],Warner Bros.,448139099.0,636800000.0,Action Thriller,PG-13,165,1825.0,-0.42100000000000004,14,1690.0,-0.36,16,1728.0,-0.10300000000000001,15,1540.0,-0.27899999999999997,16,1420.0,-0.316,19,1364.0,-0.19,19,51092.0,225011359.0,1,21159.0,-0.5860000000000001,1,12355.0,-0.438,1,7633.0,-0.46299999999999997,3,5150.0,-0.423,5,3945.0,-0.368,6,4230.0,-0.1,8,2167.0,-0.534,10,1889.0,-0.306,12,"[u'David S. Goyer', u'Christopher Nolan', u'Jonathan Nolan']",The Dark Knight Rises
The Losers,25000000.0,NA,Warner Bros.,23591432.0,5788291.0,Action,PG-13,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4130.0,12125310.0,5,2563.0,-0.379,6,1083.0,-0.647,10,932.0,-0.7540000000000001,17,1262.0,-0.735,34,1673.0,-0.197,36,1001.0,0.484,28,687.0,-0.5770000000000001,42,1004.0,-0.643,56,NA,The Losers
V for Vendetta,54000000.0,[u'James McTeigue'],Warner Bros.,70511035.0,62000000.0,Action Thriller,R,131,1487.0,-0.484,35,881.0,1.0,33,684.0,-0.405,36,676.0,-0.264,39,668.0,-0.443,45,733.0,-0.433,57,10065.0,33867547.0,1,4902.0,-0.513,2,2931.0,-0.483,4,2457.0,-0.423,7,2275.0,-0.36200000000000004,10,1719.0,-0.532,14,2170.0,-0.465,18,1769.0,-0.5479999999999999,23,2318.0,-0.335,31,[u'Lilly & Lana Wachowski'],V for Vendetta
Watchmen,130000000.0,[u'Zack Snyder'],Warner Bros.,107509799.0,77749184.0,Action / Adventure,R,163,680.0,0.935,27,584.0,-0.46799999999999997,34,578.0,-0.7270000000000001,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,18813.0,67934692.0,1,6482.0,-0.655,2,2621.0,-0.6070000000000001,5,1856.0,-0.594,8,1443.0,-0.573,13,1734.0,-0.506,17,1214.0,-0.635,26,1249.0,-0.368,28,1027.0,-0.489,40,"[u'David Hayter', u'Alex Tse']",Watchmen
