budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Deadpool,58000000.0,[u'Tim Miller'],Fox,363070709.0,418504918.0,Action,R,106,1692.0,-0.52,15,1587.0,-0.29600000000000004,15,1388.0,-0.397,20,1062.0,-0.373,19,1069.0,-0.21300000000000002,22,956.0,-0.34500000000000003,28,50701.0,180394887.0,1,19813.0,-0.5910000000000001,1,10534.0,-0.449,1,6214.0,-0.446,3,4702.0,-0.304,3,3944.0,-0.264,5,3054.0,-0.381,7,2396.0,-0.33899999999999997,10,1943.0,-0.409,11,"[u'Rhett Reese', u'Paul Wernick']",Deadpool
Elektra,43000000.0,[u'Rob Bowman'],Fox,24409722.0,32271844.0,Action / Adventure,PG-13,97,521.0,-0.711,85,547.0,-0.47500000000000003,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5121.0,16407637.0,5,1620.0,-0.684,10,1175.0,-0.654,16,948.0,-0.7000000000000001,20,749.0,-0.682,36,616.0,-0.49,50,591.0,-0.1,51,735.0,-0.027999999999999997,52,609.0,-0.434,63,[u'Zak Penn'],Elektra
Fantastic Four(2005),100000000.0,[u'Tim Story'],Fox,154696080.0,175883639.0,Action / Adventure,PG-13,123,1058.0,-0.503,27,1036.0,-0.146,30,962.0,-0.111,28,952.0,-0.187,30,885.0,-0.269,39,896.0,-0.256,42,21492.0,77412492.0,1,9083.0,-0.5750000000000001,3,5526.0,-0.42,3,3783.0,-0.455,6,2755.0,-0.379,8,2144.0,-0.462,11,1650.0,-0.5820000000000001,17,1396.0,-0.358,21,1671.0,-0.14,20,[u'Michael France'],Fantastic Four(2005)
Fantastic Four(2015),120000000.0,[u'Josh Trank'],Fox,56117548.0,111860048.0,Action / Adventure,PG-13,100,730.0,-0.438,48,510.0,-0.748,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8501.0,33961218.0,2,3001.0,-0.6459999999999999,4,1932.0,-0.585,10,1407.0,-0.527,15,1418.0,-0.317,21,824.0,-0.654,25,821.0,-0.47700000000000004,32,822.0,-0.38200000000000006,35,715.0,-0.48,40,[u'Simon Kinberg'],Fantastic Four(2015)
Fantastic Four: Rise of the Silver Surfer,130000000.0,[u'Tim Story'],Fox,131921738.0,157126025.0,Action / Adventure,PG,89,1368.0,-0.125,29,1181.0,-0.295,35,1002.0,-0.252,44,756.0,-0.41500000000000004,45,658.0,-0.313,52,769.0,-0.11,55,19564.0,77453559.0,1,7153.0,-0.634,3,5111.0,-0.512,6,4251.0,-0.5720000000000001,9,1958.0,-0.5660000000000001,11,1933.0,-0.5479999999999999,14,1833.0,-0.385,20,1988.0,-0.22399999999999998,25,1404.0,-0.354,27,[u'Don Payne'],Fantastic Four: Rise of the Silver Surfer
Ghost Rider,110000000.0,[u'Mark Steven Johnson'],Sony / Columbia,115802596.0,112935797.0,Action Horror,PG-13,110,856.0,-0.28300000000000003,28,659.0,-0.335,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16292.0,58960097.0,1,6712.0,-0.588,1,3904.0,-0.42,3,2647.0,-0.371,5,1889.0,-0.39799999999999996,7,1382.0,-0.596,13,1176.0,-0.685,24,1364.0,-0.161,22,1148.0,-0.313,26,[u'Mark Steven Johnson'],Ghost Rider
Ghost Rider: Spirit of Vengeance,57000000.0,"[u'Mark Neveldine', u'Brian Taylor']",Sony / Columbia,51774002.0,80789928.0,Action Horror,PG-13,95,907.0,-0.201,37,1227.0,-0.265,40,910.0,-0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9147.0,29032082.0,4,3544.0,-0.613,6,2340.0,-0.483,9,1542.0,-0.522,13,1122.0,-0.5870000000000001,17,815.0,-0.637,22,1170.0,0.067,20,1159.0,-0.277,23,920.0,-0.381,29,"[u'Scott M. Gimple', u'David S. Goyer', u'Seth Hoffman']",Ghost Rider: Spirit of Vengeance
Guardians of the Galaxy,170000000.0,[u'James Gunn'],Buena Vista,333176600.0,440135799.0,Action / Adventure,PG-13,121,2082.0,-0.19899999999999998,9,1985.0,-0.35000000000000003,12,1730.0,-0.507,14,1818.0,-0.42100000000000004,18,2283.0,0.043,22,2045.0,-0.20600000000000002,18,32939.0,134390839.0,1,15449.0,-0.53,2,9929.0,-0.419,2,7132.0,-0.34500000000000003,1,7542.0,0.086,1,4184.0,-0.484,1,3416.0,-0.21300000000000002,3,2429.0,-0.348,6,2009.0,-0.28800000000000003,8,"[u'James Gunn', u'Nicole Perlman']",Guardians of the Galaxy
Howard The Duck,37000000.0,NA,Universal,16295774.0,21667000.0,Sci-Fi Comedy,PG,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5185.0,8057367.0,2,2768.0,-0.46299999999999997,7,1845.0,-0.61,16,1631.0,-0.663,19,1230.0,-0.42700000000000005,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Howard The Duck
Hulk,137000000.0,[u'Ang Lee'],Universal,132177234.0,113183246.0,Action / Adventure,PG-13,135,1195.0,-0.034,36,1185.0,-0.305,40,860.0,-0.326,40,900.0,-0.212,46,746.0,-0.385,56,664.0,-0.5870000000000001,70,22335.0,81745680.0,1,7509.0,-0.669,3,3712.0,-0.5479999999999999,6,2175.0,-0.542,9,1835.0,-0.568,13,1460.0,-0.662,20,1765.0,-0.192,24,1480.0,-0.312,28,1340.0,-0.289,34,"[u'Michael France', u'James Schamus']",Hulk
