budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
Bulletproof Monk,52000000.0,NA,MGM,23358708.0,14355171.0,Action,PG-13,103,669.0,-0.237,53,673.0,-0.484,70,617.0,0.106,64,808.0,-0.75,94,499.0,-0.657,112,NA,NA,NA,3878.0,11459137.0,4,1879.0,-0.515,6,1015.0,-0.654,11,849.0,-0.583,18,547.0,-0.8390000000000001,37,731.0,-0.44,51,704.0,-0.115,48,782.0,0.037000000000000005,44,733.0,0.003,46,NA,casper
Casper,NA,[u'Brad Silberling'],Universal,100328194.0,187600000.0,Family Comedy,PG,101,2108.0,-0.40700000000000003,15,3284.0,0.9540000000000001,16,3006.0,0.5750000000000001,14,2424.0,-0.22,14,1970.0,-0.17,17,1635.0,-0.217,20,9400.0,25511615.0,1,6822.0,-0.273,1,5675.0,-0.157,2,3891.0,-0.316,3,3262.0,-0.249,5,2799.0,-0.368,8,2709.0,-0.37,10,2584.0,-0.358,12,1809.0,-0.387,14,NA,chronicle2012
Chronicle (2012),12000000.0,[u'Josh Trank'],Fox,64575175.0,62060922.0,Sci-Fi Action,PG-13,83,1117.0,-0.11900000000000001,34,1173.0,0.069,31,990.0,-0.299,40,827.0,-0.262,46,593.0,-0.538,55,708.0,-0.219,63,9586.0,27867267.0,1,5369.0,-0.44,5,4233.0,-0.307,7,2568.0,-0.573,11,2322.0,-0.47000000000000003,13,2197.0,-0.466,16,1521.0,-0.49700000000000005,20,1021.0,-0.546,27,1087.0,-0.311,33,"[u'Max Landis', u'Josh Trank']",cowboysandaliens
Cowboys & Aliens,163000000.0,[u'Jon Favreau'],Universal,100240551.0,74581774.0,Sci-Fi Action,PG-13,118,1060.0,-0.304,30,1005.0,-0.19,27,935.0,-0.061,29,1005.0,-0.32299999999999995,39,945.0,-0.34700000000000003,42,NA,NA,NA,13765.0,51620065.0,2,5925.0,-0.569,3,3450.0,-0.48700000000000004,6,2650.0,-0.48700000000000004,13,2075.0,-0.44799999999999995,15,2390.0,-0.12400000000000001,14,1180.0,-0.617,18,1139.0,-0.35600000000000004,22,1065.0,-0.47500000000000003,27,"[u'Mark Fergus', u'Alex Kurtzman', u'Damon Lindelof', u'Roberto Orci', u'Hawk Ostby']",crow
Darkman,NA,[u'Sam Raimi'],Universal,33878502.0,15000000.0,Action Horror,R,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6305.0,11260730.0,1,5070.0,-0.17500000000000002,2,2934.0,-0.43700000000000006,2,1908.0,-0.391,6,1513.0,-0.41200000000000003,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crowcityofangels
Dick Tracy,47000000.0,NA,Buena Vista,103738726.0,59000000.0,Period Action,PG,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14900.0,34746228.0,1,10097.0,-0.322,1,7200.0,-0.287,2,4729.0,-0.378,3,3862.0,-0.33,6,2880.0,-0.312,8,2232.0,-0.433,10,1677.0,-0.392,14,NA,NA,NA,NA,darkman
Dredd,50000000.0,[u'Pete Travis'],Lionsgate,13414714.0,22211811.0,Action / Adventure,R,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426.0,8584607.0,6,1355.0,-0.596,11,1203.0,-0.7120000000000001,14,1093.0,-0.8300000000000001,29,1005.0,-0.051,30,482.0,-0.784,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,[u'Alex Garland'],diaryofateenagegirl
From Hell,35000000.0,"[u'Albert Hughes', u'Allen Hughes']",Fox,31602566.0,42955549.0,Period Horror,R,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6367.0,14676081.0,1,3456.0,-0.45,3,2387.0,-0.424,7,1885.0,-0.43700000000000006,11,1516.0,-0.65,20,1247.0,-0.7320000000000001,26,747.0,-0.44700000000000006,33,690.0,-0.228,36,515.0,-0.41100000000000003,40,NA,dicktracy
Ghost world,7000000.0,NA,MGM,6217849.0,2546158.0,Comedy,R,111,4040.0,0.025,25,2688.0,-0.34,27,2281.0,-0.20500000000000002,26,2011.0,-0.156,31,1477.0,-0.32299999999999995,33,1074.0,-0.405,43,35431.0,177155.0,29,27487.0,0.24100000000000002,29,23962.0,1.51,19,15505.0,-0.043,21,12400.0,0.27,22,8076.0,-0.228,25,8314.0,0.303,28,5293.0,-0.28500000000000003,25,4947.0,0.048,25,NA,dredd
Hancock,150000000.0,[u'Peter Berg'],Sony / Columbia,227946274.0,396440472.0,Fantasy Drama,PG-13,92,1150.0,-0.478,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22891.0,90760877.0,1,11468.0,-0.499,2,5473.0,-0.545,3,3815.0,-0.389,6,3157.0,-0.397,9,2740.0,-0.35700000000000004,10,2341.0,-0.507,14,1911.0,-0.655,22,1978.0,0.10400000000000001,24,NA,fromhell
