budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
175000000.0,[u'David Ayer'],Warner Bros.,325021779.0,420500000.0,Action / Adventure,PG-13,130,1581.0,-0.381,12.0,1469.0,-0.398,15.0,1317.0,-0.455,21.0,1159.0,-0.237,23.0,,,,,,,42093.0,179104728.0,1,14681.0,-0.651,1.0,7441.0,-0.533,1.0,5056.0,-0.43,2.0,4356.0,-0.138,2.0,2357.0,-0.49,4.0,2172.0,-0.186,7.0,1804.0,-0.342,8.0,1516.0,-0.366,11.0,[u'David Ayer'],Suicide Squad
200000000.0,[u'Martin Campbell'],Warner Bros.,116601172.0,103250000.0,Action / Adventure,PG-13,105,1969.0,-0.249,24.0,1448.0,-0.325,31.0,1543.0,-0.112,37.0,950.0,-0.484,41.0,700.0,-0.511,45.0,670.0,-0.545,62.0,18596.0,70961421.0,1,7037.0,-0.652,4.0,3322.0,-0.559,7.0,2405.0,-0.555,10.0,2167.0,-0.565,14.0,1438.0,-0.713,19.0,2341.0,-0.478,29.0,1584.0,-0.458,41.0,2622.0,2.71,20.0,"[u'Greg Berlanti', u'Michael Green', u'Marc Guggenheim']",Green Lantern
47000000.0,[u'Jimmy Hayward'],Warner Bros.,10547117.0,356195.0,Western,PG-13,81,,,,,,,,,,,,,,,,,,,2670.0,7543641.0,8,4204.0,-0.699,12.0,654.0,-0.899,31.0,864.0,-0.755,51.0,3027.0,1.48,36.0,1233.0,0.559,28.0,820.0,-0.687,44.0,951.0,-0.65,62.0,,,,"[u'Mark Neveldine', u'Brian Taylor']",Jonah Hex
25000000.0,,Warner Bros.,23591432.0,5788291.0,Action,PG-13,98,,,,,,,,,,,,,,,,,,,4130.0,12125310.0,5,2563.0,-0.379,6.0,1083.0,-0.647,10.0,932.0,-0.754,17.0,1262.0,-0.735,34.0,1673.0,-0.197,36.0,1001.0,0.484,28.0,687.0,-0.577,42.0,1004.0,-0.643,56.0,,The Losers
84000000.0,[u'Dean Parisot'],Lionsgate/Summit,53262560.0,94813005.0,Action Comedy,PG-13,116,741.0,-0.246,44.0,815.0,-0.32,48.0,1063.0,1.41,32.0,906.0,-0.295,36.0,,,,,,,8513.0,25674356.0,5,4585.0,-0.461,6.0,2870.0,-0.428,10.0,1819.0,-0.638,15.0,1376.0,-0.656,22.0,1252.0,-0.505,28.0,2045.0,0.095,34.0,874.0,-0.591,37.0,837.0,-0.199,39.0,"[u'Erich Hoeber', u'Jon Hoeber']",Red 2
58000000.0,[u'Robert Schwentke'],Summit Entertainment,90380162.0,108626225.0,Action Comedy,PG-13,111,1367.0,-0.044,19.0,1581.0,-0.131,20.0,1411.0,-0.181,20.0,1082.0,-0.339,24.0,1017.0,-0.258,30.0,937.0,-0.316,37.0,8751.0,28483269.0,2,5992.0,-0.312,3.0,4455.0,-0.239,3.0,3621.0,-0.216,4.0,2225.0,-0.452,7.0,3977.0,-0.432,11.0,1836.0,-0.538,13.0,1342.0,-0.377,15.0,1113.0,-0.4,18.0,"[u'Erich Hoeber', u'Jon Hoeber']",Red
16000000.0,,Warner Bros.,1710972.0,,Action / Adventure,PG-13,97,,,,,,,,,,,,,,,,,,,1054.0,1328601.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,Steel
,,TriStar,14296438.0,,Action / Adventure,PG,125,,,,,,,,,,,,,,,,,,,4000.0,6431731.0,1,1701.0,-0.571,4.0,928.0,-0.662,7.0,645.0,-0.584,12.0,1664.0,0.743,16.0,877.0,-0.48,17.0,1413.0,0.11,17.0,915.0,-0.543,23.0,825.0,-0.361,24.0,,Supergirl
55000000.0,[u'Richard Donner'],Warner Bros.,134218018.0,166000000.0,Action / Adventure,PG,143,,,,,,,,,,,,,,,,,,,23709.0,12044352.0,1,22975.0,0.537,1.0,,,,,,,,,,,,,,,,,,,,,,[u'Robert Benton'],Superman
270000000.0,[u'Bryan Singer'],Warner Bros.,200081192.0,191000000.0,Action / Adventure,PG-13,154,4539.0,0.166,18.0,2674.0,-0.495,21.0,3639.0,-0.187,23.0,3120.0,-0.262,28.0,1379.0,0.462,21.0,1078.0,-0.26,25.0,21591.0,87768980.0,1,7921.0,-0.633,2.0,5030.0,-0.412,4.0,3906.0,-0.417,9.0,2998.0,-0.455,12.0,2261.0,-0.446,15.0,2621.0,-0.41,17.0,3369.0,-0.344,21.0,3518.0,-0.152,20.0,"[u'Michael Dougherty', u'Dan Harris']",Superman Returns
54000000.0,,Warner Bros.,108185706.0,,Action / Adventure,PG,128,,,,,,,,,,,,,,,,,,,17186.0,24009272.0,1,13180.0,-0.227,1.0,8867.0,-0.103,1.0,,,,,,,,,,,,,,,,,,,,Superman II
225000000.0,[u'Zack Snyder'],Warner Bros.,291045518.0,377000000.0,Action / Adventure,PG-13,143,2067.0,-0.366,24.0,1598.0,-0.358,29.0,1565.0,-0.082,36.0,776.0,-0.649,40.0,934.0,-0.455,48.0,,,,37254.0,156728823.0,1,14036.0,-0.623,3.0,10770.0,-0.459,6.0,5644.0,-0.487,7.0,3261.0,-0.572,10.0,2740.0,-0.59,14.0,2308.0,-0.598,18.0,2358.0,-0.38,22.0,2793.0,0.66,19.0,"[u'David S. Goyer', u'Christopher Nolan']",Man of Steel
250000000.0,[u'Zack Snyder'],Warner Bros.,330360194.0,542900000.0,Action / Adventure,PG-13,151,2149.0,0.817,15.0,1613.0,-0.439,17.0,1418.0,-0.3,23.0,,,,,,,,,,49286.0,209072793.0,1,15079.0,-0.693,1.0,7082.0,-0.547,2.0,3332.0,-0.598,4.0,2394.0,-0.371,6.0,2096.0,-0.335,9.0,925.0,-0.698,10.0,992.0,-0.5,13.0,1330.0,-0.421,21.0,"[u'David S. Goyer', u'Chris Terrio']",Batman v Superman: Dawn of Justice
,,Warner Bros.,59950623.0,,Action / Adventure,PG,125,,,,,,,,,,,,,,,,,,,11668.0,20524333.0,1,7784.0,-0.336,2.0,5412.0,-0.3,2.0,3710.0,-0.373,3.0,3777.0,-0.259,7.0,2610.0,-0.309,10.0,2467.0,-0.353,14.0,,,,,,,,Superman III
17000000.0,,Warner Bros.,15681020.0,,Action / Adventure,PG,90,,,,,,,,,,,,,,,,,,,5517.0,8335988.0,5,3029.0,-0.451,7.0,1813.0,-0.648,20.0,,,,,,,,,,,,,,,,,,,,Superman IV: The Quest for Peace
54000000.0,[u'James McTeigue'],Warner Bros.,70511035.0,62000000.0,Action Thriller,R,131,1487.0,-0.484,35.0,881.0,1.0,33.0,684.0,-0.405,36.0,676.0,-0.264,39.0,668.0,-0.443,45.0,733.0,-0.433,57.0,10065.0,33867547.0,1,4902.0,-0.513,2.0,2931.0,-0.483,4.0,2457.0,-0.423,7.0,2275.0,-0.362,10.0,1719.0,-0.532,14.0,2170.0,-0.465,18.0,1769.0,-0.548,23.0,2318.0,-0.335,31.0,[u'Lilly & Lana Wachowski'],V for Vendetta
130000000.0,[u'Zack Snyder'],Warner Bros.,107509799.0,77749184.0,Action / Adventure,R,163,680.0,0.935,27.0,584.0,-0.468,34.0,578.0,-0.727,61.0,,,,,,,,,,18813.0,67934692.0,1,6482.0,-0.655,2.0,2621.0,-0.607,5.0,1856.0,-0.594,8.0,1443.0,-0.573,13.0,1734.0,-0.506,17.0,1214.0,-0.635,26.0,1249.0,-0.368,28.0,1027.0,-0.489,40.0,"[u'David Hayter', u'Alex Tse']",Watchmen
