budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
12000000.0,[u'Josh Trank'],Fox,64575175.0,62060922.0,Sci-Fi Action,PG-13,83,1117.0,-0.119,34.0,1173.0,0.069,31.0,990.0,-0.299,40.0,827.0,-0.262,46.0,593.0,-0.538,55.0,708.0,-0.219,63.0,9586.0,27867267.0,1,5369.0,-0.44,5.0,4233.0,-0.307,7.0,2568.0,-0.573,11.0,2322.0,-0.47,13.0,2197.0,-0.466,16.0,1521.0,-0.497,20.0,1021.0,-0.546,27.0,1087.0,-0.311,33.0,"[u'Max Landis', u'Josh Trank']",Chronicle (2012)
163000000.0,[u'Jon Favreau'],Universal,100240551.0,74581774.0,Sci-Fi Action,PG-13,118,1060.0,-0.304,30.0,1005.0,-0.19,27.0,935.0,-0.061,29.0,1005.0,-0.323,39.0,945.0,-0.347,42.0,,,,13765.0,51620065.0,2,5925.0,-0.569,3.0,3450.0,-0.487,6.0,2650.0,-0.487,13.0,2075.0,-0.448,15.0,2390.0,-0.124,14.0,1180.0,-0.617,18.0,1139.0,-0.356,22.0,1065.0,-0.475,27.0,"[u'Mark Fergus', u'Alex Kurtzman', u'Damon Lindelof', u'Roberto Orci', u'Hawk Ostby']",Cowboys & Aliens
,[u'Alex Proyas'],Miramax,50693129.0,,Action Horror,R,117,,,,,,,,,,,,,,,,,,,7485.0,11774332.0,2,6854.0,0.233,2.0,3823.0,-0.444,5.0,3311.0,-0.26,6.0,2550.0,-0.443,9.0,1769.0,-0.45,12.0,1776.0,-0.304,13.0,,,,,,,,The Crow
,[u'Tim Pope'],Miramax,17917287.0,,Action Horror,R,91,,,,,,,,,,,,,,,,,,,4654.0,11276439.0,1,,,,,,,,,,,,,,,,,,,,,,,,,[u'David S. Goyer'],The Crow:City of Angels
,[u'Sam Raimi'],Universal,33878502.0,15000000.0,Action Horror,R,96,,,,,,,,,,,,,,,,,,,6305.0,11260730.0,1,5070.0,-0.175,2.0,2934.0,-0.437,2.0,1908.0,-0.391,6.0,1513.0,-0.412,9.0,,,,,,,,,,,,,,Darkman
,,Sony Classics,1477002.0,,Drama,R,102,661.0,-0.13,81.0,393.0,-0.621,97.0,,,,,,,,,,,,,20599.0,82394.0,37,7376.0,0.97,34.0,3702.0,0.574,31.0,734.0,1.28,25.0,981.0,-0.571,36.0,1093.0,-0.699,48.0,1289.0,-0.573,66.0,952.0,-0.468,71.0,1044.0,-0.512,89.0,,The Diary of a Teenage Girl
47000000.0,,Buena Vista,103738726.0,59000000.0,Period Action,PG,105,,,,,,,,,,,,,,,,,,,14900.0,34746228.0,1,10097.0,-0.322,1.0,7200.0,-0.287,2.0,4729.0,-0.378,3.0,3862.0,-0.33,6.0,2880.0,-0.312,8.0,2232.0,-0.433,10.0,1677.0,-0.392,14.0,,,,,Dick Tracy
50000000.0,[u'Pete Travis'],Lionsgate,13414714.0,22211811.0,Action / Adventure,R,95,,,,,,,,,,,,,,,,,,,3426.0,8584607.0,6,1355.0,-0.596,11.0,1203.0,-0.712,14.0,1093.0,-0.83,29.0,1005.0,-0.051,30.0,482.0,-0.784,58.0,,,,,,,,,,[u'Alex Garland'],Dredd
35000000.0,"[u'Albert Hughes', u'Allen Hughes']",Fox,31602566.0,42955549.0,Period Horror,R,122,,,,,,,,,,,,,,,,,,,6367.0,14676081.0,1,3456.0,-0.45,3.0,2387.0,-0.424,7.0,1885.0,-0.437,11.0,1516.0,-0.65,20.0,1247.0,-0.732,26.0,747.0,-0.447,33.0,690.0,-0.228,36.0,515.0,-0.411,40.0,,From Hell
7000000.0,,MGM,6217849.0,2546158.0,Comedy,R,111,4040.0,0.025,25.0,2688.0,-0.34,27.0,2281.0,-0.205,26.0,2011.0,-0.156,31.0,1477.0,-0.323,33.0,1074.0,-0.405,43.0,35431.0,177155.0,29,27487.0,0.241,29.0,23962.0,1.51,19.0,15505.0,-0.043,21.0,12400.0,0.27,22.0,8076.0,-0.228,25.0,8314.0,0.303,28.0,5293.0,-0.285,25.0,4947.0,0.048,25.0,,Ghost world
120000000.0,[u'Michel Gondry'],Sony / Columbia,98780042.0,129037206.0,Action / Adventure,PG-13,108,1397.0,-0.301,23.0,1269.0,-0.208,,1044.0,-0.294,,827.0,-0.396,,571.0,-0.593,,,,,12651.0,45341243.0,1,6127.0,-0.516,2.0,3922.0,-0.371,5.0,2509.0,-0.449,5.0,2359.0,-0.352,10.0,1827.0,-0.531,14.0,1269.0,-0.634,18.0,1054.0,-0.665,27.0,1822.0,0.987,22.0,"[u'Evan Goldberg', u'Seth Rogen']",The Green Hornet
150000000.0,[u'Peter Berg'],Sony / Columbia,227946274.0,396440472.0,Fantasy Drama,PG-13,92,1150.0,-0.478,25.0,,,,,,,,,,,,,,,,22891.0,90760877.0,1,11468.0,-0.499,2.0,5473.0,-0.545,3.0,3815.0,-0.389,6.0,3157.0,-0.397,9.0,2740.0,-0.357,10.0,2341.0,-0.507,14.0,1911.0,-0.655,22.0,1978.0,0.104,24.0,,Hancock
66000000.0,[u'Guillermo del Toro'],Sony (Revolution),59623958.0,39695029.0,Action Horror,PG-13,112,,,,,,,,,,,,,,,,,,,9909.0,30004042.0,1,4815.0,-0.512,2.0,2428.0,-0.52,3.0,1791.0,-0.435,7.0,1513.0,-0.405,11.0,862.0,-0.685,19.0,702.0,-0.748,34.0,869.0,-0.441,43.0,,,,[u'Guillermo del Toro'],Hellboy
85000000.0,[u'Guillermo del Toro'],Universal,75986503.0,84401560.0,Action Horror,PG-13,110,875.0,-0.27,37.0,,,,,,,,,,,,,,,,14485.0,46409070.0,1,4530.0,-0.686,6.0,2580.0,-0.465,8.0,2991.0,-0.545,13.0,2353.0,-0.494,14.0,1615.0,-0.566,20.0,1481.0,-0.543,29.0,1225.0,-0.297,35.0,890.0,-0.227,36.0,[u'Guillermo del Toro'],Hellboy II: The Golden Army
100000000.0,[u'Brett Ratner'],Paramount,72688614.0,172131248.0,Action / Adventure,PG-13,98,1100.0,-0.338,30.0,845.0,-0.444,38.0,811.0,-0.283,45.0,,,,,,,,,,11585.0,41648048.0,2,4482.0,-0.613,4.0,2859.0,-0.486,8.0,2064.0,-0.632,10.0,1895.0,-0.613,17.0,2615.0,-0.252,25.0,1445.0,-0.566,30.0,1277.0,-0.253,32.0,1322.0,0.331,25.0,"[u'Ryan Condal', u'Evan Spiliotopoulos']",Hercules
32000000.0,,New Line,31504633.0,29236194.0,Crime Drama,R,96,1230.0,-0.508,44.0,899.0,0.079,40.0,571.0,-0.159,44.0,619.0,-0.085,39.0,1112.0,-0.032,48.0,1590.0,0.43,43.0,54907.0,768704.0,18,8062.0,13.05,4.0,5367.0,-0.334,9.0,3588.0,-0.328,8.0,2744.0,-0.258,9.0,1884.0,-0.469,14.0,1535.0,-0.43,19.0,1480.0,-0.58,25.0,943.0,-0.655,40.0,,A history of violence
65000000.0,[u'Stuart Beattie'],Lionsgate,19075290.0,52079302.0,Action Horror,PG-13,92,,,,,,,,,,,,,,,,,,,3985.0,10970070.0,6,1830.0,-0.541,9.0,1302.0,-0.631,16.0,1383.0,-0.652,25.0,950.0,-0.682,37.0,1076.0,-0.117,37.0,1204.0,-0.391,45.0,848.0,-0.419,52.0,,,,[u'Stuart Beattie'],"I, Frankenstein"
92000000.0,[u'Brad Bird'],Buena Vista,261441092.0,371578642.0,Animation,PG,115,1546.0,-0.517,16.0,1700.0,-0.319,20.0,1096.0,-0.607,23.0,1331.0,-0.175,23.0,1049.0,-0.301,25.0,986.0,-0.333,30.0,23647.0,93004485.0,1,14754.0,-0.376,1.0,11492.0,-0.316,3.0,7567.0,-0.342,2.0,3365.0,-0.591,4.0,2380.0,-0.409,6.0,3551.0,-0.027,10.0,4323.0,0.217,12.0,3023.0,-0.308,12.0,[u'Brad Bird'],The Incredibles
11000000.0,,Miramax,14694904.0,,Action,PG-13,85,,,,,,,,,,,,,,,,,,,6162.0,7547951.0,6,3281.0,-0.463,9.0,1813.0,-0.466,13.0,985.0,-0.704,22.0,975.0,-0.647,30.0,,,,,,,,,,,,,,Iron Monkey
39000000.0,,Universal,14271015.0,595000.0,Comedy,PG-13,98,,,,,,,,,,,,,,,,,,,2565.0,6556135.0,7,1320.0,-0.485,9.0,795.0,-0.591,15.0,780.0,-0.571,18.0,535.0,-0.561,26.0,490.0,-0.638,20.0,,,,,,,,,,[u'Deborah Kaplan & Harry Elfont'],Josie and the Pussycats
90000000.0,[u'Danny Cannon'],Buena Vista,34693481.0,78800000.0,Action / Adventure,R,96,,,,,,,,,,,,,,,,,,,8656.0,19077560.0,5,3506.0,-0.595,7.0,1931.0,-0.549,10.0,1870.0,-0.454,13.0,,,,,,,,,,,,,,,,[u'Michael De Luca'],Judge Dredd
30000000.0,[u'Matthew Vaughn'],Lionsgate,48071303.0,48117600.0,Action Comedy,R,117,856.0,-0.299,41.0,615.0,-0.533,54.0,,,,,,,,,,,,,8276.0,25365824.0,1,4028.0,-0.513,4.0,2385.0,-0.509,8.0,1308.0,-0.621,12.0,1338.0,-0.646,14.0,1360.0,-0.485,23.0,1576.0,-0.388,28.0,974.0,-0.556,40.0,1077.0,0.682,31.0,"[u'Jane Goldman', u'Matthew Vaughn']",Kick-Ass
28000000.0,[u'Jeff Wadlow'],Universal,28795985.0,32000000.0,Action Comedy,R,103,,,,,,,,,,,,,,,,,,,6175.0,18153135.0,5,2165.0,-0.649,9.0,1780.0,-0.54,18.0,1280.0,-0.711,23.0,1005.0,-0.593,32.0,720.0,-0.58,43.0,,,,,,,,,,[u'Jeff Wadlow'],Kick-Ass 2
78000000.0,,Fox,66465204.0,112800000.0,Period Adventure,PG-13,112,1104.0,-0.17,31.0,822.0,-0.384,42.0,795.0,-0.304,45.0,859.0,-0.24,53.0,763.0,-0.544,66.0,648.0,-0.439,78.0,10784.0,32374097.0,2,5157.0,-0.522,3.0,3094.0,-0.494,6.0,2465.0,-0.368,10.0,1752.0,-0.53,11.0,1536.0,-0.614,19.0,2055.0,-0.033,23.0,1931.0,-0.301,28.0,1222.0,-0.43,31.0,,The League of Extraordinary Gentlemen
23000000.0,,New Line,119938730.0,231644677.0,Comedy,PG-13,97,1133.0,-0.21,10.0,,,,,,,,,,,,,,,,15719.0,37096664.0,1,9534.0,-0.382,2.0,6175.0,-0.337,3.0,4520.0,-0.252,3.0,2805.0,-0.379,4.0,2951.0,0.052,4.0,1613.0,-0.528,5.0,1336.0,-0.315,6.0,1165.0,-0.188,7.0,,The Mask
95000000.0,[u'Martin Campbell'],Sony / Columbia,94095523.0,156193000.0,Period Adventure,PG-13,137,,,,,,,,,,,,,,,,,,,13461.0,33855235.0,1,7864.0,-0.416,3.0,4970.0,-0.368,6.0,3505.0,-0.317,8.0,2703.0,-0.328,11.0,2052.0,-0.464,15.0,1776.0,-0.237,14.0,1972.0,0.019,13.0,1180.0,,50.0,"[u'Ted Elliott', u'Terry Rossio']",The Mask of Zorro
130000000.0,[u'Tom McGrath'],Paramount (DreamWorks),148415853.0,173469912.0,Animation,PG,96,948.0,-0.576,20.0,2975.0,1.85,18.0,2183.0,-0.311,21.0,2036.0,-0.126,25.0,1641.0,-0.221,27.0,1718.0,-0.123,29.0,15137.0,59702174.0,1,8508.0,-0.437,1.0,7136.0,-0.275,2.0,4114.0,-0.424,4.0,1897.0,-0.571,6.0,1344.0,-0.458,10.0,1345.0,-0.577,17.0,1612.0,-0.107,14.0,1097.0,-0.319,14.0,,Megamind
