budget,director,distributor,domestic_BO,foreign_BO,genre,rating,runtime,week_10_avg,week_10_change,week_10_rank,week_11_avg,week_11_change,week_11_rank,week_12_avg,week_12_change,week_12_rank,week_13_avg,week_13_change,week_13_rank,week_14_avg,week_14_change,week_14_rank,week_15_avg,week_15_change,week_15_rank,week_1_avg,week_1_gross,week_1_rank,week_2_avg,week_2_change,week_2_rank,week_3_avg,week_3_change,week_3_rank,week_4_avg,week_4_change,week_4_rank,week_5_avg,week_5_change,week_5_rank,week_6_avg,week_6_change,week_6_rank,week_7_avg,week_7_change,week_7_rank,week_8_avg,week_8_change,week_8_rank,week_9_avg,week_9_change,week_9_rank,writers,Title
165000000.0,"[u'Don Hall', u'Chris Williams']",Buena Vista,222527828.0,435290784.0,Animation,PG,108,1778.0,-0.512,14.0,2373.0,-0.376,18.0,1843.0,-0.526,24.0,1650.0,-0.333,27.0,1694.0,-0.218,27.0,3408.0,1.49,19.0,20113.0,75643891.0,1,10596.0,-0.471,2.0,9742.0,-0.18,2.0,6245.0,-0.359,3.0,3081.0,-0.535,5.0,2773.0,-0.211,6.0,3971.0,0.065,8.0,5508.0,0.387,10.0,3009.0,-0.494,11.0,"[u'Robert L. Baird', u'Daniel Gerson', u'Jordan Roberts']",Big Hero 6
43000000.0,[u'Rob Bowman'],Fox,24409722.0,32271844.0,Action / Adventure,PG-13,97,521.0,-0.711,85.0,547.0,-0.475,102.0,,,,,,,,,,,,,5121.0,16407637.0,5,1620.0,-0.684,10.0,1175.0,-0.654,16.0,948.0,-0.7,20.0,749.0,-0.682,36.0,616.0,-0.49,50.0,591.0,-0.1,51.0,735.0,-0.028,52.0,609.0,-0.434,63.0,[u'Zak Penn'],Elektra
100000000.0,[u'Tim Story'],Fox,154696080.0,175883639.0,Action / Adventure,PG-13,123,1058.0,-0.503,27.0,1036.0,-0.146,30.0,962.0,-0.111,28.0,952.0,-0.187,30.0,885.0,-0.269,39.0,896.0,-0.256,42.0,21492.0,77412492.0,1,9083.0,-0.575,3.0,5526.0,-0.42,3.0,3783.0,-0.455,6.0,2755.0,-0.379,8.0,2144.0,-0.462,11.0,1650.0,-0.582,17.0,1396.0,-0.358,21.0,1671.0,-0.14,20.0,[u'Michael France'],Fantastic Four(2005)
120000000.0,[u'Josh Trank'],Fox,56117548.0,111860048.0,Action / Adventure,PG-13,100,730.0,-0.438,48.0,510.0,-0.748,79.0,,,,,,,,,,,,,8501.0,33961218.0,2,3001.0,-0.646,4.0,1932.0,-0.585,10.0,1407.0,-0.527,15.0,1418.0,-0.317,21.0,824.0,-0.654,25.0,821.0,-0.477,32.0,822.0,-0.382,35.0,715.0,-0.48,40.0,[u'Simon Kinberg'],Fantastic Four(2015)
130000000.0,[u'Tim Story'],Fox,131921738.0,157126025.0,Action / Adventure,PG,89,1368.0,-0.125,29.0,1181.0,-0.295,35.0,1002.0,-0.252,44.0,756.0,-0.415,45.0,658.0,-0.313,52.0,769.0,-0.11,55.0,19564.0,77453559.0,1,7153.0,-0.634,3.0,5111.0,-0.512,6.0,4251.0,-0.572,9.0,1958.0,-0.566,11.0,1933.0,-0.548,14.0,1833.0,-0.385,20.0,1988.0,-0.224,25.0,1404.0,-0.354,27.0,[u'Don Payne'],Fantastic Four: Rise of the Silver Surfer
110000000.0,[u'Mark Steven Johnson'],Sony / Columbia,115802596.0,112935797.0,Action Horror,PG-13,110,856.0,-0.283,28.0,659.0,-0.335,35.0,,,,,,,,,,,,,16292.0,58960097.0,1,6712.0,-0.588,1.0,3904.0,-0.42,3.0,2647.0,-0.371,5.0,1889.0,-0.398,7.0,1382.0,-0.596,13.0,1176.0,-0.685,24.0,1364.0,-0.161,22.0,1148.0,-0.313,26.0,[u'Mark Steven Johnson'],Ghost Rider
57000000.0,"[u'Mark Neveldine', u'Brian Taylor']",Sony / Columbia,51774002.0,80789928.0,Action Horror,PG-13,95,907.0,-0.201,37.0,1227.0,-0.265,40.0,910.0,-0.258,,,,,,,,,,,9147.0,29032082.0,4,3544.0,-0.613,6.0,2340.0,-0.483,9.0,1542.0,-0.522,13.0,1122.0,-0.587,17.0,815.0,-0.637,22.0,1170.0,0.067,20.0,1159.0,-0.277,23.0,920.0,-0.381,29.0,"[u'Scott M. Gimple', u'David S. Goyer', u'Seth Hoffman']",Ghost Rider: Spirit of Vengeance
37000000.0,,Universal,16295774.0,21667000.0,Sci-Fi Comedy,PG,111,,,,,,,,,,,,,,,,,,,5185.0,8057367.0,2,2768.0,-0.463,7.0,1845.0,-0.61,16.0,1631.0,-0.663,19.0,1230.0,-0.427,20.0,,,,,,,,,,,,,,Howard The Duck
137000000.0,[u'Ang Lee'],Universal,132177234.0,113183246.0,Action / Adventure,PG-13,135,1195.0,-0.034,36.0,1185.0,-0.305,40.0,860.0,-0.326,40.0,900.0,-0.212,46.0,746.0,-0.385,56.0,664.0,-0.587,70.0,22335.0,81745680.0,1,7509.0,-0.669,3.0,3712.0,-0.548,6.0,2175.0,-0.542,9.0,1835.0,-0.568,13.0,1460.0,-0.662,20.0,1765.0,-0.192,24.0,1480.0,-0.312,28.0,1340.0,-0.289,34.0,"[u'Michael France', u'James Schamus']",Hulk
150000000.0,[u'Louis Leterrier'],Universal,134806913.0,128620638.0,Action / Adventure,PG-13,114,1205.0,-0.42,36.0,1006.0,-0.48,42.0,1070.0,-0.251,45.0,,,,,,,,,,21375.0,74919370.0,1,8940.0,-0.581,3.0,4727.0,-0.564,6.0,2510.0,-0.441,6.0,1830.0,-0.534,10.0,1490.0,-0.725,15.0,1705.0,-0.297,16.0,2275.0,0.063,20.0,1538.0,-0.351,22.0,[u'Zak Penn'],The Incredible Hulk
140000000.0,[u'Jon Favreau'],Paramount,318412101.0,266762121.0,Action / Adventure,PG-13,126,2192.0,-0.329,13.0,2033.0,-0.354,14.0,1840.0,-0.522,16.0,1797.0,-0.287,22.0,2297.0,0.899,18.0,1956.0,-0.278,20.0,29996.0,123134395.0,1,15726.0,-0.475,1.0,9842.0,-0.368,2.0,7780.0,-0.255,3.0,5136.0,-0.385,4.0,3728.0,-0.417,6.0,3532.0,-0.223,7.0,3209.0,-0.277,9.0,2412.0,-0.458,12.0,"[u'Mark Fergus', u'Hawk Ostby']",Iron Man
200000000.0,[u'Jon Favreau'],Paramount,312433331.0,311500000.0,Action / Adventure,PG-13,125,1839.0,-0.485,19.0,2610.0,0.543,14.0,2163.0,-0.245,16.0,1738.0,-0.304,20.0,1419.0,-0.36,27.0,1111.0,-0.378,33.0,36338.0,159159871.0,1,14921.0,-0.588,1.0,8119.0,-0.482,2.0,6555.0,-0.265,4.0,3741.0,-0.549,7.0,2853.0,-0.415,9.0,2586.0,-0.366,10.0,1837.0,-0.485,13.0,2280.0,-0.446,13.0,,Iron Man 2
200000000.0,[u'Shane Black'],Buena Vista,409013994.0,805797258.0,Action / Adventure,PG-13,129,2314.0,-0.641,17.0,1910.0,-0.441,23.0,1739.0,-0.337,30.0,1571.0,-0.227,35.0,940.0,0.815,29.0,1277.0,-0.744,44.0,49946.0,212421084.0,1,21037.0,-0.579,1.0,10985.0,-0.484,2.0,8371.0,-0.379,5.0,4071.0,-0.589,7.0,3727.0,-0.306,11.0,2573.0,-0.481,10.0,3341.0,-0.272,11.0,6453.0,-0.385,14.0,"[u'Shane Black', u'Drew Pearce']",Iron Man 3
170000000.0,"[u'Anthony Russo', u'Joe Russo']",Buena Vista,259766572.0,454497695.0,Action / Adventure,PG-13,136,1932.0,-0.318,16.0,1946.0,-0.292,20.0,1785.0,-0.243,26.0,2636.0,1.09,21.0,2131.0,-0.222,22.0,1699.0,-0.317,25.0,29865.0,117608171.0,1,14552.0,-0.513,1.0,8869.0,-0.408,1.0,5674.0,-0.395,2.0,3145.0,-0.513,4.0,2773.0,-0.251,5.0,2190.0,-0.336,7.0,1973.0,-0.455,12.0,1666.0,-0.668,14.0,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: The Winter Soldier
170000000.0,[u'James Gunn'],Buena Vista,333176600.0,440152029.0,Action / Adventure,PG-13,121,2082.0,-0.199,9.0,1985.0,-0.35,12.0,1730.0,-0.507,14.0,1818.0,-0.421,18.0,2283.0,0.043,22.0,2045.0,-0.206,18.0,32939.0,134390839.0,1,15449.0,-0.53,2.0,9929.0,-0.419,2.0,7132.0,-0.345,1.0,7542.0,0.086,1.0,4184.0,-0.484,1.0,3416.0,-0.213,3.0,2429.0,-0.348,6.0,2009.0,-0.288,8.0,"[u'James Gunn', u'Nicole Perlman']",Guardians of the Galaxy
250000000.0,"[u'Anthony Russo', u'Joe Russo']",Buena Vista,408084349.0,745220146.0,Action / Adventure,PG-13,147,1937.0,-0.641,22.0,1588.0,-0.366,29.0,1542.0,-0.388,32.0,1469.0,-0.302,38.0,1946.0,1.71,25.0,1779.0,-0.149,30.0,52846.0,223329078.0,1,21521.0,-0.593,1.0,10222.0,-0.525,2.0,7032.0,-0.447,4.0,3634.0,-0.531,6.0,3058.0,-0.427,9.0,2446.0,-0.454,10.0,2868.0,-0.384,13.0,3501.0,-0.405,16.0,"[u'Christopher Markus', u'Stephen McFeely']",Captain America: Civil War
165000000.0,[u'Scott Derrickson'],Buena Vista,231328197.0,427944834.0,Action / Adventure,PG-13,115,1690.0,-0.607,23.0,,,,,,,,,,,,,,,,28331.0,109982169.0,1,13881.0,-0.51,1.0,9366.0,-0.477,2.0,5579.0,-0.404,4.0,3035.0,-0.469,5.0,2287.0,-0.291,5.0,3509.0,-0.435,12.0,3424.0,-0.484,17.0,2424.0,-0.387,19.0,"[u'Jon Spaihts', u'Scott Derrickson', u'C. Robert Cargill']",Doctor Strange
33000000.0,,Lions Gate,33810189.0,20889916.0,Action / Crime,R,119,733.0,-0.324,74.0,1249.0,4.9,34.0,904.0,-0.246,39.0,,-0.379,51.0,,,,,,,6750.0,17879621.0,2,3157.0,-0.532,4.0,2075.0,-0.438,8.0,1157.0,-0.647,10.0,972.0,-0.685,23.0,944.0,-0.629,30.0,914.0,-0.605,50.0,754.0,-0.45,62.0,741.0,-0.28,66.0,"[u'Jonathan Hensleigh', u'Michael France']",The Punisher
35000000.0,[u'Lexi Alexander'],Lionsgate,8050977.0,2049059.0,Action,R,107,,,,,,,,,,,,,,,,,,,2244.0,5627529.0,8,848.0,-0.622,13.0,771.0,-0.86,32.0,,,,,,,,,,,,,,,,,,,,Punisher: War Zone
139000000.0,[u'Sam Raimi'],Sony / Columbia,403706375.0,418002176.0,Action / Adventure,PG-13,121,2162.0,-0.364,14.0,2205.0,-0.61,20.0,1980.0,-0.585,24.0,2140.0,-0.278,25.0,1165.0,-0.298,31.0,1208.0,-0.614,46.0,41943.0,151622504.0,1,24596.0,-0.414,1.0,15848.0,-0.356,2.0,10753.0,-0.272,2.0,5653.0,-0.505,3.0,4607.0,-0.277,5.0,3999.0,-0.275,7.0,3037.0,-0.36,10.0,3402.0,-0.261,13.0,[u'David Koepp'],Spider-Man
200000000.0,[u'Sam Raimi'],Sony / Columbia,373585825.0,410180516.0,Action / Adventure,PG-13,127,2119.0,-0.196,19.0,1570.0,-0.563,20.0,1619.0,-0.434,26.0,1715.0,-0.132,23.0,1266.0,-0.372,31.0,1758.0,1.07,24.0,35405.0,147002059.0,1,15904.0,-0.549,1.0,8857.0,-0.458,2.0,5962.0,-0.377,4.0,4413.0,-0.408,5.0,3273.0,-0.366,8.0,2774.0,-0.369,10.0,2598.0,-0.34,12.0,1793.0,-0.391,16.0,"[u'Michael Chabon', u'Alvin Sargent', u'Alfred Gough & Miles Millar']",Spider-Man 2
258000000.0,[u'Sam Raimi'],Sony / Columbia,336530303.0,554341323.0,Action / Adventure,PG-13,140,2482.0,-0.527,22.0,1835.0,0.826,18.0,1559.0,-0.396,21.0,1210.0,-0.302,26.0,979.0,-0.403,37.0,789.0,-0.424,42.0,42820.0,182070572.0,1,16766.0,-0.608,1.0,8391.0,-0.491,2.0,5673.0,-0.418,3.0,3091.0,-0.502,5.0,2426.0,-0.407,8.0,2049.0,-0.401,10.0,2350.0,-0.506,13.0,2525.0,-0.485,18.0,[u'Alvin Sargent'],Spider-Man 3
